Model,Segment,Spearman Correlation Coefficient between Max Frequency and LL,P-value,Mean ESM LL below 0.1,Mean ESM LL above 0.99,Difference in LL ESM Means,Time Frame
3B,HA,0.29903057962625174,8.519520894265835e-76,-59.67774432162437,-44.62491888748972,15.052825434134647,Post 1990
3B,MP,0.3351236867559928,2.1655888303510693e-29,-114.71352991982111,-114.42159649006372,0.29193342975739256,Post 1990
3B,NA,0.40461900075238083,1.3493917841842667e-45,-77.40932501715582,-62.862915399506335,14.546409617649488,Post 1990
3B,NP,-0.004983241604708558,0.869170628030086,-226.939696021702,-227.01375656985164,-0.07406054814964591,Post 1990
3B,NS,0.25783015589370123,1.8188673183775805e-17,-119.59186212091498,-116.45615911483765,3.1357030060773354,Post 1990
3B,PA,-0.13191305553275792,9.727467148439787e-06,-345.3042172970979,-345.4927176735618,-0.18850037646387818,Post 1990
3B,PB1,0.32392116108333985,1.0043863867436819e-28,-38.607127618537376,-30.000986892700194,8.606140725837182,Post 1990
3B,PB2,0.22712320070283784,1.2536773143876443e-14,-177.5064055571685,-175.52347023973186,1.9829353174366418,Post 1990
Fine_Tune_3B,HA,0.3575468452207715,8.484941520326104e-110,-78.7921865363556,-69.37544323627213,9.416743300083468,Post 1990
Fine_Tune_3B,MP,-0.0406699632981417,0.18455785548833312,-55.59268561872856,-55.651474813813145,-0.0587891950845858,Post 1990
Fine_Tune_3B,NA,0.4215587897265225,9.84809377398175e-50,-140.2575280679239,-108.60953353521393,31.64799453270996,Post 1990
Fine_Tune_3B,NP,0.3950761841820523,3.205681242065411e-42,-77.43538557964823,-61.07840348361583,16.356982096032397,Post 1990
Fine_Tune_3B,NS,0.460766732861835,1.6214447669337088e-56,-53.80378154066742,-33.09954925378164,20.704232286885784,Post 1990
Fine_Tune_3B,PA,0.433709069354185,1.9317485546362306e-52,-85.82962836389956,-53.07670244737105,32.75292591652851,Post 1990
Fine_Tune_3B,PB1,0.2974180796772617,2.8592177945341773e-24,-57.615337149806756,-42.102879135131836,15.51245801467492,Post 1990
